appId,title,developer,score,ratings,installs,genre,price
com.google.android.apps.labs.language.tailwind,Google NotebookLM,Google LLC,4.830139,128138,12035027,Productivity,0.0
ai.turbolearn,Turbo AI - Notetaker,Turbo AI,4.7410016,246935,1867360,Education,0.0
com.aisense.otter,OtterAI Transcribe Voice Notes,Otter.ai,4.304663,25891,5684054,Productivity,0.0
com.codespaceapps.meetingtranscriber,Smart Noter - AI Note Taker,Deep Flow Apps,4.3348417,63342,6563362,Productivity,0.0
io.labhouse.audioapp,Summary - AI Note Taker,Labhouse Mobile,4.7077246,26890,527244,Productivity,0.0
com.yygg.note.app,"Notewise - AI Notes, PDF, Docs",Notewise,4.5953755,24500,5805279,Productivity,0.0
notion.id,"Notion: Notes, Tasks, AI","Notion Labs, Inc.",4.6753244,333548,33982652,Productivity,0.0
ai.fireflies.mobile,Fireflies: AI notetaker,Fireflies.ai,4.633663,4153,300706,Productivity,0.0
com.studocu.app,Studocu: AI Notes & Summaries,Studocu,4.58,21553,2914729,Education,0.0
com.meetgeek.assistant,AI Transcribe. Speech to Text,MeetGeek: AI Note Taker. Transcribe Speech to Text,4.402299,914,221472,Productivity,0.0
ai.notes.notebook,HyNote: AI Notebook LLM Notes,Turing Intelligence,4.4,3352,170625,Productivity,0.0
com.ma.waveapp,Wave AI Note Taker & Recorder,Mohrer Associates,4.548148,1967,161138,Productivity,0.0
com.sota.ainotex,NoteX: AI Notes & Meetings,SotaLabs,4.34,1730,114793,Productivity,0.0
com.recordpro.audiorecord,HiNoter - AI Note Taker,Nieruo Team,4.571429,2025,151392,Productivity,0.0
app.coconote,Coconote - AI Note Taker,Quizlet Inc.,4.4059405,2105,222410,Education,0.0
com.hubx.noteai,Note AI: Smart Note Taker,HubX,4.3846154,7194,348439,Productivity,0.0
ai.meeting.app,Meeting.ai: AI Visual Notes,Meeting.ai,4.59,12037,375481,Productivity,0.0
com.goodnotes.android.app,"Goodnotes: AI Notes, Docs, PDF",Goodnotes,3.6875,25884,3831174,Productivity,0.0
com.feraset.ainote,AI Note Taker - Meeting Notes,FERASET,4.287129,1586,39514,Education,0.0
ai.plaud.android.plaud,Plaud: AI Note Taker,PLAUD LLC,4.6114287,7749,405501,Tools,0.0
